Grupos de religião,Total,Branca,Preta,Amarela,Parda,Indígena,Sem declaração
Católica Apostólica Romana,123 280 172,60 189 864,8 348 310,1 261 350,53 064 179,416 201,269
Católica Apostólica Brasileira,560 781,217 427, 54 275,7 418,275 862,5 798,-
Católica Ortodoxa,131 571, 70 043,9 360,2 020,49 925,222, -
Evangélicas,42 275 440,18 867 446,3 461 646,413 261,19 323 780, 209 259,48
Igreja Evangélica Presbiteriana,921 209,531 597,45 375,11 495,327 465,5 277, -
Igreja Evangélica Metodista,340 938,184 852,27 233,4 114,123 736,1 004,-
Igreja Evangélica Batista,3 723 853,1 591 525,326 331,39 334,1 731 109,35 554,-
Igreja Evangélica Congregacional,109 591,58 532,6 271,783,43 926,79,-
Igreja Evangélica Adventista,1 561 071,671 414,113 464,16 297,750 577,9 319,-
Outras Evangélicas de Missão, 30 666,21 759,1 252,749,6 885,22,-
Evangélicas de Origem Pentecostal,25 370 484,10 470 009,2 144 552,237 121,12 401 216,117 538,48
Igreja Assembléia de Deus,12 314 410,4 584 114,1 047 167,117 688,6 500 792,64 621,28
Igreja Congregação Cristã do Brasil,2 289 634,1 257 980,130 327,15 823,879 929,5 575,-
Igreja o Brasil para Cristo,196 665,94 960,14 279,1 664,85 216,547,-
Igreja Evangelho Quadrangular,1 808 389,877 080,142 269,15 263,768 412,5 365,-
Igreja Universal do Reino de Deus,1 873 243,700 699,205 177,19 126,943 248,5 023,-
Igreja Casa da Benção,125 550,43 312,13 903,1 373,66 652,310,-
Igreja Deus é Amor,845 383,296 418,81 701,6 962,451 247,9 056,-
Igreja Maranata,356 021,153 257,26 130,3 272,172 408,953,-
Outras Reliogidades cristãs,1 461 495,677 081,141 707,19 104,617 605,5 998,-
Testemunhas de Jeová,1 398 208,659 783,129 115,15 303,585 535,3 472,-
Espiritualista,61 739,41 927,2 842,638,16 145,188,-
Espiírita,3 848 876,2 645 559,254 432,40 546,901 485,6 843,12
Umbanda,407 331,220 526,70 927,2 158,112 435,1 286,-
Candomblé,167 363,50 670,48 849,1 214,65 777,853,-
Judaismo,107 329,94 575,1 690,492,10 429,143,-
Hinduismo,5 675,4 113,133,146,1 181,102,-
Budismo,243 966,103 387,15 455,76 896,47 886,342,-
Islamismo,35 167,29 248,1 336,268,4 300,15,-
Tradições Esotérias,74 013,41 974,5 355,713,25 457,516,-
Tradições Indígenas,63 082,11 018,1 154,307,7 458,43 144,-
Sem Religião,15 355 510,6 075 781,1 698 719,224 333,7 217 638,118 877,163
Ateu,615 096,335 890,53 575,13 535,208 185,3 910,-
Agnóstico,124 436,81 608,7 487,3 140,31 309,825,67
Declaração de Multípla religiolidade,15 379,8 922,838,422,3 795,1 402,-
